Design,Distance
Design1,206.32
Design1,207.94
Design1,206.19
Design1,204.45
Design1,209.65
Design1,203.81
Design1,206.75
Design1,205.68
Design1,204.49
Design1,210.86
Design2,217.08
Design2,221.43
Design2,218.04
Design2,224.13
Design2,211.82
Design2,213.9
Design2,221.28
Design2,229.43
Design2,213.54
Design2,214.51
Design3,226.77
Design3,224.79
Design3,229.75
Design3,228.51
Design3,221.44
Design3,223.85
Design3,223.97
Design3,234.3
Design3,219.5
Design3,233
Design4,230.55
Design4,227.95
Design4,231.84
Design4,224.87
Design4,229.49
Design4,231.1
Design4,221.53
Design4,235.45
Design4,228.35
Design4,225.09
